id,main_memory,ram
26,1,12
78,16,640
38,4,384
12,2,16
22,64,3
19,2,409
69,16,2
34,256,18
36,952,128
63,16,1.5
70,512,16
44,128,4
68,256,6
54,1.1,768
6,64,256
46,128,3
4,3,1
79,64,8
51,128,1
35,64,6
7,32,3
28,64,1
74,16,4
21,160,512
76,128,8
62,128,12
64,1,18
9,2,1
43,64,2
10,1,24
55,64,4
37,128,2
29,16,256
3,256,10
31,2,768
90,32,512
53,16,3
56,512,512
67,2,512
89,4,512
49,1.4,384
48,32,1.5
13,32,1
2,4,478
75,16,768
81,32,256
47,512,256
73,512,6
80,3,512
30,16,430
66,4,1
59,2,256
15,16,478
84,256,16
39,16,512
40,4,256
50,11,1
5,8,512
57,16,1
83,4,768
71,1,512
45,1,8
24,512,8
1,256,12
27,128,6
25,32,2
17,8,1
41,8,768
65,512,4
72,256,2
20,4,512
88,1,6
58,256,3
42,512,18
23,8,1.5
8,512,12
60,1,384
86,1,16
16,256,8
32,8,2
18,13.2,1
11,1,768
14,64,512
33,32,4
87,8,256
61,16,576
52,640,18
77,256,4
85,8,384
82,1,1
